Common_Name,Number_Observed,distance_band,Point_Name,duration_hrs,sub_comments,Date_Time,latitude,longitude
Scaly-throated Foliage-gleaner,1,within,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Tropical Parula,2,within,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Mountain Thrush,5,within,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Ochraceous Wren,2,within,PaBHF05,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Middle American Leaftosser,1,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Common Chlorospingus,4,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Spot-crowned Woodcreeper,2,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
White-throated Thrush,1,outside,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Golden-browed Chlorophonia,3,outside,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Golden-browed Chlorophonia,3,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Slate-throated Redstart,2,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Black-faced Solitaire,2,outside,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Black-faced Solitaire,2,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Silver-throated Tanager,2,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Golden-winged Warbler,1,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Flame-throated Warbler,1,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Gray-breasted Wood-Wren,3,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Long-tailed Silky-flycatcher,4,outside,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Long-tailed Silky-flycatcher,4,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Black Hawk-Eagle,1,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Long-tailed Silky-flycatcher,3,outside,PaBHF08,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811988,-82.396157
Long-tailed Silky-flycatcher,3,within,PaBHF08,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811988,-82.396157
hummingbird sp.,1,outside,PaBHF08,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811988,-82.396157
Prong-billed Barbet,1,outside,PaBHF08,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811988,-82.396157
Tropical Parula,1,outside,PaBHF08,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811988,-82.396157
Black-faced Solitaire,2,outside,PaBHF08,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811988,-82.396157
Black Hawk-Eagle,1,within,PaBHF08,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811988,-82.396157
Brown-capped Vireo,1,outside,PaBHF08,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811988,-82.396157
Golden-browed Chlorophonia,1,within,PaBHF08,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811988,-82.396157
Ochraceous Wren,3,outside,PaBHF08,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811988,-82.396157
Ochraceous Wren,3,within,PaBHF08,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811988,-82.396157
Slate-throated Redstart,2,outside,PaBHF08,0.167,"PC,V=2,L=0,N=0",3/9/22,8.811988,-82.396157
Gray-breasted Wood-Wren,2,outside,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Slate-throated Redstart,1,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Prong-billed Barbet,5,outside,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Golden-crowned Warbler,2,outside,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
White-throated Thrush,1,outside,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Long-tailed Silky-flycatcher,2,outside,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Golden-browed Chlorophonia,1,within,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Black-faced Solitaire,3,outside,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Turkey Vulture,1,outside,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Ochraceous Wren,1,outside,PaBHF08,0.167,"KA,V=1,L=0,N=0",3/9/22,8.811988,-82.396157
Black-faced Solitaire,3,within,PaBHF08,0.167,"PC,V=2,L=1,N=1",3/9/22,8.811988,-82.396157
Black-faced Solitaire,3,outside,PaBHF08,0.167,"PC,V=2,L=1,N=1",3/9/22,8.811988,-82.396157
Long-tailed Silky-flycatcher,5,within,PaBHF08,0.167,"PC,V=2,L=1,N=1",3/9/22,8.811988,-82.396157
Long-tailed Silky-flycatcher,5,outside,PaBHF08,0.167,"PC,V=2,L=1,N=1",3/9/22,8.811988,-82.396157
Golden-browed Chlorophonia,1,outside,PaBHF08,0.167,"PC,V=2,L=1,N=1",3/9/22,8.811988,-82.396157
Golden-bellied Flycatcher,2,within,PaBHF08,0.167,"PC,V=2,L=1,N=1",3/9/22,8.811988,-82.396157
Bright-rumped Attila,1,outside,PaBHF08,0.167,"PC,V=2,L=1,N=1",3/9/22,8.811988,-82.396157
Stripe-tailed Hummingbird,1,within,PaBHF08,0.167,"PC,V=2,L=1,N=1",3/9/22,8.811988,-82.396157
Gray-breasted Wood-Wren,2,outside,PaBHF08,0.167,"PC,V=2,L=1,N=1",3/9/22,8.811988,-82.396157
Golden-crowned Warbler,2,within,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Black-faced Solitaire,1,outside,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Silver-throated Tanager,2,within,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Lesser Violetear,1,outside,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Mountain Thrush,4,within,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Mountain Thrush,4,outside,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Slate-throated Redstart,1,within,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Long-tailed Silky-flycatcher,4,within,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Long-tailed Silky-flycatcher,4,outside,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Ochraceous Wren,2,within,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Northern Emerald-Toucanet,1,outside,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Middle American Leaftosser,2,within,PaBHF05,0.167,"KA,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Black-faced Solitaire,1,outside,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Golden-browed Chlorophonia,5,outside,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Golden-browed Chlorophonia,5,within,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Gray-breasted Wood-Wren,4,outside,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Lesser Violetear,1,outside,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Long-tailed Silky-flycatcher,1,outside,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Ochraceous Wren,1,outside,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Chestnut-capped Brushfinch,4,within,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Mountain Thrush,7,outside,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Mountain Thrush,7,within,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Slate-throated Redstart,3,within,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Mountain Elaenia,3,outside,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Mountain Elaenia,3,within,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
passerine sp.,2,outside,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
White-throated Thrush,5,within,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Stripe-tailed Hummingbird,1,within,PaBHF05,0.2,"PC,V=2,L=0,N=0",3/9/22,8.811042,-82.398207
Common Chlorospingus,2,within,PaBHF06,0.167,"KA,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Golden-browed Chlorophonia,2,outside,PaBHF06,0.167,"KA,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Golden-browed Chlorophonia,2,within,PaBHF06,0.167,"KA,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
White-throated Thrush,1,outside,PaBHF06,0.167,"KA,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Black-faced Solitaire,2,outside,PaBHF06,0.167,"KA,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Black-faced Solitaire,2,within,PaBHF06,0.167,"KA,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Patagioenas sp.,1,within,PaBHF06,0.167,"KA,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Resplendent Quetzal,3,outside,PaBHF06,0.167,"KA,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Resplendent Quetzal,3,within,PaBHF06,0.167,"KA,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Gray-breasted Wood-Wren,2,within,PaBHF06,0.167,"KA,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Silvery-fronted Tapaculo,2,outside,PaBHF06,0.167,"KA,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Mountain Elaenia,1,within,PaBHF06,0.167,"KA,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Prong-billed Barbet,5,outside,PaBHF06,0.167,"KA,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Silvery-fronted Tapaculo,1,outside,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Gray-breasted Wood-Wren,1,within,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Band-tailed Pigeon,4,outside,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Black-faced Solitaire,2,outside,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Wilson's Warbler,1,within,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Long-tailed Silky-flycatcher,2,outside,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Yellow-winged Vireo,1,within,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
hummingbird sp.,1,outside,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Ruddy-capped Nightingale-Thrush,1,within,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Golden-browed Chlorophonia,3,within,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Golden-browed Chlorophonia,3,outside,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Mountain Elaenia,1,outside,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Slate-throated Redstart,3,outside,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Slate-throated Redstart,3,within,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Slaty-backed Nightingale-Thrush,2,outside,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
Slaty-backed Nightingale-Thrush,2,within,PaBHF06,0.167,"PC,V=1,L=0,N=0",3/9/22,8.807901,-82.394251
swift sp.,2,outside,PaBLSC03,0.167,"KA,V=1,L=0,N=0",3/9/22,8.80964,-82.431158
Great-tailed Grackle,1,outside,PaBLSC03,0.167,"KA,V=1,L=0,N=0",3/9/22,8.80964,-82.431158
Cattle Egret,1,outside,PaBLSC03,0.167,"KA,V=1,L=0,N=0",3/9/22,8.80964,-82.431158
Spotted Wood-Quail,2,outside,PaBLSC03,0.167,"KA,V=1,L=0,N=0",3/9/22,8.80964,-82.431158
Yellow-faced Grassquit,3,within,PaBLSC03,0.167,"KA,V=1,L=0,N=0",3/9/22,8.80964,-82.431158
Yellow-faced Grassquit,3,outside,PaBLSC03,0.167,"KA,V=1,L=0,N=0",3/9/22,8.80964,-82.431158
Clay-colored Thrush,2,outside,PaBLSC03,0.167,"KA,V=1,L=0,N=0",3/9/22,8.80964,-82.431158
Orange-billed Nightingale-Thrush,1,outside,PaBLSC03,0.167,"KA,V=1,L=0,N=0",3/9/22,8.80964,-82.431158
Silver-throated Tanager,2,outside,PaBLSC03,0.167,"PC,V=0,L=0,N=0",3/9/22,8.80964,-82.431158
House Wren,3,outside,PaBLSC03,0.167,"PC,V=0,L=0,N=0",3/9/22,8.80964,-82.431158
House Wren,3,within,PaBLSC03,0.167,"PC,V=0,L=0,N=0",3/9/22,8.80964,-82.431158
White-throated Thrush,1,outside,PaBLSC03,0.167,"PC,V=0,L=0,N=0",3/9/22,8.80964,-82.431158
Yellow-faced Grassquit,2,outside,PaBLSC03,0.167,"PC,V=0,L=0,N=0",3/9/22,8.80964,-82.431158
Clay-colored Thrush,5,outside,PaBLSC03,0.167,"PC,V=0,L=0,N=0",3/9/22,8.80964,-82.431158
Clay-colored Thrush,5,within,PaBLSC03,0.167,"PC,V=0,L=0,N=0",3/9/22,8.80964,-82.431158
Broad-winged Hawk,1,outside,PaBLSC03,0.167,"PC,V=0,L=0,N=0",3/9/22,8.80964,-82.431158
White-tipped Dove,1,outside,PaBLSC03,0.167,"PC,V=0,L=0,N=0",3/9/22,8.80964,-82.431158
Blue-gray Tanager,2,outside,PaBLSC03,0.167,"PC,V=0,L=0,N=0",3/9/22,8.80964,-82.431158
White-naped Brushfinch,1,within,PaBLSC03,0.167,"PC,V=0,L=0,N=0",3/9/22,8.80964,-82.431158
Orange-billed Nightingale-Thrush,2,outside,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Orange-billed Nightingale-Thrush,2,within,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Tennessee Warbler,6,outside,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Tennessee Warbler,6,within,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Red-crowned Woodpecker,1,outside,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
White-throated Thrush,3,outside,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
White-throated Thrush,3,within,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Brown-capped Vireo,1,within,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Mistletoe Tyrannulet,2,outside,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Broad-winged Hawk,1,outside,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Silver-throated Tanager,6,outside,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Red-legged Honeycreeper,1,within,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Thick-billed Euphonia,1,outside,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Snowy-bellied Hummingbird,1,within,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Piratic Flycatcher,1,outside,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Isthmian Wren,1,outside,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Mountain Elaenia,2,within,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Baltimore Oriole,1,within,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Yellow-faced Grassquit,1,within,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Tropical Kingbird,2,within,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Clay-colored Thrush,2,within,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
House Wren,1,outside,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Common Tody-Flycatcher,1,within,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
White-naped Brushfinch,1,within,PaBLSh03,0.167,"PC,V=2,L=0,N=0",3/8/22,8.798742,-82.443445
Lesser Goldfinch,1,within,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Clay-colored Thrush,1,outside,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Brown-capped Vireo,1,within,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
White-throated Thrush,4,outside,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
White-throated Thrush,4,within,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Mountain Elaenia,2,outside,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Blue-gray Tanager,2,within,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Black-and-white Warbler,1,within,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Red-legged Honeycreeper,2,within,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Orange-billed Nightingale-Thrush,2,outside,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Orange-billed Nightingale-Thrush,2,within,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Baltimore Oriole,2,within,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Isthmian Wren,1,outside,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Scarlet-thighed Dacnis,1,within,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Common Tody-Flycatcher,1,within,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Red-crowned Woodpecker,1,outside,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Piratic Flycatcher,1,outside,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Snowy-bellied Hummingbird,1,outside,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Tennessee Warbler,4,within,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Rufous-tailed Hummingbird,1,within,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Silver-throated Tanager,3,within,PaBLSh03,0.167,"PC,V=1,L=0,N=0",3/8/22,8.798742,-82.443445
Rufous-breasted Wren,3,outside,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Rufous-breasted Wren,3,within,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Silver-throated Tanager,6,within,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Chestnut-sided Warbler,2,within,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Golden-crowned Warbler,2,outside,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Scarlet-thighed Dacnis,1,within,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Brown-capped Vireo,1,within,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Lesser Violetear,1,within,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
White-throated Thrush,1,outside,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Lesser Greenlet,2,within,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Gray-breasted Wood-Wren,2,outside,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Lance-tailed Manakin,3,outside,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
White-tailed Emerald,1,within,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Clay-colored Thrush,1,outside,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
hummingbird sp.,1,within,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Slate-throated Redstart,1,outside,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
White-winged Tanager,1,within,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Yellow-throated Vireo,1,outside,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Orange-billed Nightingale-Thrush,1,outside,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
Golden-winged Warbler,1,within,PaBLSh02,0.25,"KA,V=1,L=0,N=0",3/8/22,8.801358,-82.446702
White-throated Thrush,2,outside,PaBLSh02,0.2,"PC,V=2,L=0,N=0",3/8/22,8.801358,-82.446702
White-throated Thrush,2,within,PaBLSh02,0.2,"PC,V=2,L=0,N=0",3/8/22,8.801358,-82.446702
Orange-billed Nightingale-Thrush,1,outside,PaBLSh02,0.2,"PC,V=2,L=0,N=0",3/8/22,8.801358,-82.446702
Rufous-breasted Wren,3,outside,PaBLSh02,0.2,"PC,V=2,L=0,N=0",3/8/22,8.801358,-82.446702
Scarlet-thighed Dacnis,1,within,PaBLSh02,0.2,"PC,V=2,L=0,N=0",3/8/22,8.801358,-82.446702
Golden-crowned Warbler,4,within,PaBLSh02,0.2,"PC,V=2,L=0,N=0",3/8/22,8.801358,-82.446702
Tropical Parula,1,within,PaBLSh02,0.2,"PC,V=2,L=0,N=0",3/8/22,8.801358,-82.446702
Boat-billed Flycatcher,1,outside,PaBLSh02,0.2,"PC,V=2,L=0,N=0",3/8/22,8.801358,-82.446702
Lesser Violetear,1,within,PaBLSh02,0.2,"PC,V=2,L=0,N=0",3/8/22,8.801358,-82.446702
Silver-throated Tanager,2,within,PaBLSh02,0.2,"PC,V=2,L=0,N=0",3/8/22,8.801358,-82.446702
White-naped Brushfinch,2,within,PaBLSh02,0.2,"PC,V=2,L=0,N=0",3/8/22,8.801358,-82.446702
Gray-breasted Wood-Wren,2,outside,PaBLSh02,0.2,"PC,V=2,L=0,N=0",3/8/22,8.801358,-82.446702
Red-crowned Ant-Tanager,2,outside,PaBLSh02,0.2,"PC,V=2,L=0,N=0",3/8/22,8.801358,-82.446702
